symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2007-09-19 00:00:00+00:00,140.7699,143.16,139.4,143.02,36674300,4.2725458742,4.3450884553,4.2309676633,4.3408392769,1026881426,0.0,1.0
AAPL,2007-09-20 00:00:00+00:00,140.31,141.79,139.32,140.15,24708600,4.258587323,4.3035072093,4.2285395613,4.2537311191,691841491,0.0,1.0
AAPL,2007-09-21 00:00:00+00:00,144.15,144.65,140.31,141.14,40674300,4.3751362171,4.3903118543,4.258587323,4.2837788809,1138881538,0.0,1.0
AAPL,2007-09-24 00:00:00+00:00,148.28,149.85,146.65,146.73,37577200,4.5004869807,4.5481384816,4.4510144033,4.4534425052,1052162652,0.0,1.0
AAPL,2007-09-25 00:00:00+00:00,153.18,153.22,146.82,146.84,42591100,4.6492082257,4.6504222766,4.4561741199,4.4567811454,1192551992,0.0,1.0
AAPL,2007-09-26 00:00:00+00:00,152.77,155.0,151.25,154.47,34831000,4.6367642031,4.7044475452,4.5906302659,4.6883613697,975268975,0.0,1.0
AAPL,2007-09-27 00:00:00+00:00,154.5,154.52,152.32,153.77,23507100,4.689271908,4.6898789335,4.6231061296,4.6671154776,658199458,0.0,1.0
AAPL,2007-09-28 00:00:00+00:00,153.47,154.6,152.75,153.44,21967900,4.6580100953,4.6923070354,4.6361571776,4.657099557,615101815,0.0,1.0
AAPL,2007-10-01 00:00:00+00:00,156.339,157.41,152.93,154.63,29895300,4.7450879018,4.7775941167,4.641620407,4.6932175737,837069237,0.0,1.0
AAPL,2007-10-02 00:00:00+00:00,158.45,158.59,155.89,156.55,28288200,4.8091594422,4.8134086206,4.7314601795,4.7514920207,792070392,0.0,1.0
AAPL,2007-10-03 00:00:00+00:00,157.9201,159.18,157.01,157.78,24732800,4.7930763018,4.8313158726,4.7654536069,4.7888240883,692519092,0.0,1.0
AAPL,2007-10-04 00:00:00+00:00,156.24,158.08,153.5,158.0,23462800,4.7420831256,4.7979294706,4.6589206335,4.7955013687,656959056,0.0,1.0
AAPL,2007-10-05 00:00:00+00:00,161.4499,161.58,157.7,158.36,33695400,4.9002102305,4.9041589313,4.7863959863,4.8064278275,943472143,0.0,1.0
AAPL,2007-10-08 00:00:00+00:00,167.91,167.91,162.97,163.49,29854600,5.0962824988,5.0962824988,4.9463472029,4.9621298656,835929635,0.0,1.0
